"researcher_id","year","grade","score"
"00000001",2024,"다",75
"00000001",2025,"라",65
"00000001",2026,"마",55
"00000002",2024,"나",85
"00000002",2025,"나",85
"00000002",2026,"가",95
"00000003",2024,"다",75
"00000003",2025,"다",75
"00000003",2026,"다",75
"00000004",2024,"다",75
"00000004",2025,"나",85
"00000004",2026,"나",85
"00000005",2024,"라",65
"00000005",2025,"다",75
"00000005",2026,"나",85
"00000006",2024,"라",65
"00000006",2025,"라",65
"00000006",2026,"다",75
"00000007",2024,"다",75
"00000007",2025,"나",85
"00000007",2026,"나",85
"00000008",2024,"나",85
"00000008",2025,"다",75
"00000008",2026,"라",65
"00000009",2024,"다",75
"00000009",2025,"라",65
"00000009",2026,"다",75
"00000010",2024,"라",65
"00000010",2025,"라",65
"00000010",2026,"마",55
"00000011",2024,"가",95
"00000011",2025,"가",95
"00000011",2026,"가",95
"00000012",2024,"마",55
"00000012",2025,"마",55
"00000012",2026,"라",65
"00000013",2024,"다",75
"00000013",2025,"나",85
"00000013",2026,"다",75
"00000014",2024,"다",75
"00000014",2025,"라",65
"00000014",2026,"라",65
"00000015",2024,"다",75
"00000015",2025,"나",85
"00000015",2026,"가",95
"00000016",2024,"다",75
"00000016",2025,"나",85
"00000016",2026,"가",95
"00000017",2024,"가",95
"00000017",2025,"나",85
"00000017",2026,"나",85
"00000018",2024,"나",85
"00000018",2025,"다",75
"00000018",2026,"라",65
"00000019",2024,"나",85
"00000019",2025,"가",95
"00000019",2026,"가",95
"00000020",2024,"마",55
"00000020",2025,"라",65
"00000020",2026,"마",55
"00000021",2024,"가",95
"00000021",2025,"나",85
"00000021",2026,"다",75
"00000022",2024,"가",95
"00000022",2025,"가",95
"00000022",2026,"가",95
"00000023",2024,"가",95
"00000023",2025,"가",95
"00000023",2026,"가",95
"00000024",2024,"라",65
"00000024",2025,"다",75
"00000024",2026,"다",75
"00000025",2024,"라",65
"00000025",2025,"마",55
"00000025",2026,"마",55
"00000026",2024,"가",95
"00000026",2025,"가",95
"00000026",2026,"가",95
"00000027",2024,"다",75
"00000027",2025,"나",85
"00000027",2026,"다",75
"00000028",2024,"라",65
"00000028",2025,"마",55
"00000028",2026,"마",55
"00000029",2024,"라",65
"00000029",2025,"다",75
"00000029",2026,"라",65
"00000030",2024,"가",95
"00000030",2025,"가",95
"00000030",2026,"가",95
"00000031",2024,"나",85
"00000031",2025,"나",85
"00000031",2026,"나",85
"00000032",2024,"다",75
"00000032",2025,"나",85
"00000032",2026,"가",95
"00000033",2024,"다",75
"00000033",2025,"다",75
"00000033",2026,"다",75
"00000034",2024,"라",65
"00000034",2025,"라",65
"00000034",2026,"마",55
"00000035",2024,"라",65
"00000035",2025,"마",55
"00000035",2026,"마",55
"00000036",2024,"다",75
"00000036",2025,"다",75
"00000036",2026,"나",85
"00000037",2024,"다",75
"00000037",2025,"나",85
"00000037",2026,"가",95
"00000038",2024,"다",75
"00000038",2025,"라",65
"00000038",2026,"라",65
"00000039",2024,"라",65
"00000039",2025,"다",75
"00000039",2026,"다",75
"00000040",2024,"다",75
"00000040",2025,"다",75
"00000040",2026,"나",85
"00000041",2024,"나",85
"00000041",2025,"다",75
"00000041",2026,"라",65
"00000042",2024,"라",65
"00000042",2025,"마",55
"00000042",2026,"마",55
"00000043",2024,"나",85
"00000043",2025,"가",95
"00000043",2026,"나",85
"00000044",2024,"마",55
"00000044",2025,"마",55
"00000044",2026,"마",55
"00000045",2024,"마",55
"00000045",2025,"마",55
"00000045",2026,"마",55
"00000046",2024,"나",85
"00000046",2025,"나",85
"00000046",2026,"나",85
"00000047",2024,"라",65
"00000047",2025,"다",75
"00000047",2026,"나",85
"00000048",2024,"다",75
"00000048",2025,"라",65
"00000048",2026,"마",55
"00000049",2024,"마",55
"00000049",2025,"마",55
"00000049",2026,"마",55
"00000050",2024,"나",85
"00000050",2025,"나",85
"00000050",2026,"나",85
